sku,warehouse,available,local_demand_14d,days_of_cover,target_stock,reorder_trigger,gap,transfer_in,transfer_from,po_qty,action,expected_stockout_units,expected_cost,priority_mode
SKU-300,WH-A,160,171.42857142857142,13.066666666666668,134.6938775510204,60.0,0.0,0.0,,0,OK,11.428571428571416,73.94285714285708,medium
SKU-500,WH-A,125,128.25144508670522,13.64507042253521,120.92279108175062,70.0,0.0,0.0,,0,OK,3.2514450867052176,58.764450867052176,medium
SKU-500,WH-B,48,49.24855491329479,13.645070422535214,45.730800990916585,45.0,0.0,0.0,,0,OK,1.2485549132947895,22.565549132947893,medium
SKU-400,WH-A,10,62.5,2.2399999999999998,104.35267857142856,35.0,94.35267857142856,0.0,,95,PURCHASE_ORDER,0.0,4280.6,high
SKU-400,WH-B,8,50.0,2.2399999999999998,71.42857142857143,20.0,63.42857142857143,0.0,,65,PURCHASE_ORDER,0.0,2929.48,high
SKU-200,WH-A,60,143.57142857142856,5.850746268656717,155.1084183673469,50.0,95.1084183673469,0.0,,100,PURCHASE_ORDER,0.0,2216.8,high
SKU-100,WH-A,105,143.3653846153846,10.253521126760564,168.96634615384613,40.0,63.96634615384613,0.0,,70,PURCHASE_ORDER,0.0,889.7,high
SKU-200,WH-B,10,23.928571428571427,5.850746268656716,27.774234693877553,25.0,17.774234693877553,0.0,,20,PURCHASE_ORDER,0.0,442.8,high
SKU-100,WH-B,25,34.13461538461539,10.253521126760562,42.66826923076923,30.0,17.668269230769234,0.0,,20,PURCHASE_ORDER,0.0,253.5,high
SKU-300,WH-B,50,53.57142857142857,13.066666666666666,57.39795918367347,40.0,7.397959183673471,7.397959183673471,WH-A,0,TRANSFER_IN,0.0,16.346938775510207,medium
